,Title,Artist,URL
188,Heart Shaped Box,Nirvana,https://tabs.ultimate-guitar.com/tab/nirvana/heart-shaped-box-guitar-pro-226977
189,Bring Me To Life,Evanescence,https://tabs.ultimate-guitar.com/tab/evanescence/bring-me-to-life-guitar-pro-218994
190,Numb,Linkin Park,https://tabs.ultimate-guitar.com/tab/linkin-park/numb-guitar-pro-224056
191,Smooth,Santana,https://tabs.ultimate-guitar.com/tab/santana/smooth-guitar-pro-230548
192,For The Love Of God,Steve Vai,https://tabs.ultimate-guitar.com/tab/steve-vai/for-the-love-of-god-guitar-pro-234300
193,Around The World,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/around-the-world-guitar-pro-229711
194,Smells Like Teen Spirit,Nirvana,https://tabs.ultimate-guitar.com/tab/nirvana/smells-like-teen-spirit-guitar-pro-1001519
195,The Unforgiven Ii,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/the-unforgiven-ii-guitar-pro-225550
196,Killing In The Name,Rage Against the Machine,https://tabs.ultimate-guitar.com/tab/rage-against-the-machine/killing-in-the-name-guitar-pro-474654
197,Slow Dancing In A Burning Room,John Mayer,https://tabs.ultimate-guitar.com/tab/john-mayer/slow-dancing-in-a-burning-room-guitar-pro-760160
198,Pirates Of The Caribbean - Hes A Pirate,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/pirates-of-the-caribbean-hes-a-pirate-guitar-pro-235213
199,Wonderwall,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-guitar-pro-245894
200,Layla,Eric Clapton,https://tabs.ultimate-guitar.com/tab/eric-clapton/layla-guitar-pro-444612
201,Yyz,Rush,https://tabs.ultimate-guitar.com/tab/rush/yyz-guitar-pro-230454
202,Sultans Of Swing,Dire Straits,https://tabs.ultimate-guitar.com/tab/dire-straits/sultans-of-swing-guitar-pro-218136
203,Sweet Child O Mine,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-guitar-pro-220694
204,Always With Me Always With You,Joe Satriani,https://tabs.ultimate-guitar.com/tab/joe-satriani/always-with-me-always-with-you-guitar-pro-481708
205,Hearts Burst Into Fire,Bullet For My Valentine,https://tabs.ultimate-guitar.com/tab/bullet-for-my-valentine/hearts-burst-into-fire-guitar-pro-716696
206,Highway To Hell,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/highway-to-hell-guitar-pro-266537
207,Crazy Little Thing Called Love,Queen,https://tabs.ultimate-guitar.com/tab/queen/crazy-little-thing-called-love-guitar-pro-228912
208,The Godfather Theme,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/the-godfather-theme-guitar-pro-837373
209,Hallelujah,Jeff Buckley,https://tabs.ultimate-guitar.com/tab/jeff-buckley/hallelujah-guitar-pro-215916
210,I Cant Get No Satisfaction,The Rolling Stones,https://tabs.ultimate-guitar.com/tab/the-rolling-stones/i-cant-get-no-satisfaction-guitar-pro-359202
211,Black Or White,Michael Jackson,https://tabs.ultimate-guitar.com/tab/michael-jackson/black-or-white-guitar-pro-222321
212,Here Without You,3 Doors Down,https://tabs.ultimate-guitar.com/tab/3-doors-down/here-without-you-guitar-pro-257390
213,Paranoid Android,Radiohead,https://tabs.ultimate-guitar.com/tab/radiohead/paranoid-android-guitar-pro-229263
214,Boulevard Of Broken Dreams,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/boulevard-of-broken-dreams-guitar-pro-449762
215,Lonely Day,System Of A Down,https://tabs.ultimate-guitar.com/tab/system-of-a-down/lonely-day-guitar-pro-520851
216,My Heart Will Go On,Sungha Jung,https://tabs.ultimate-guitar.com/tab/sungha-jung/my-heart-will-go-on-guitar-pro-1013784
217,Someone Like You,Adele,https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-guitar-pro-1062679
218,Karma Police,Radiohead,https://tabs.ultimate-guitar.com/tab/radiohead/karma-police-guitar-pro-229235
219,Dear God,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/dear-god-guitar-pro-749891
220,Tribute,Tenacious D,https://tabs.ultimate-guitar.com/tab/tenacious-d/tribute-guitar-pro-236775
221,Best Of You,Foo Fighters,https://tabs.ultimate-guitar.com/tab/foo-fighters/best-of-you-guitar-pro-357882
222,La Grange,ZZ Top,https://tabs.ultimate-guitar.com/tab/zz-top/la-grange-guitar-pro-235249
